AADAT|0009058/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
AARSL|0006412/not known/not known|0004813/not known/not known|0005575/cellular_component/not known|1
ABCA10|0006810/not known/not known|0016887/not known/not known|0005575/cellular_component/not known|1
ABCA6|0006810/not known/not known|0016887/not known/not known|0005575/cellular_component/not known|1
ABCB10|0006810/not known/not known|0016887/not known/not known|0005575/cellular_component/not known|1
ABCB5|0006810/not known/not known|0016887/not known/not known|0005575/cellular_component/not known|1
ABCC11|0006810/not known/not known|0016887/not known/not known|0005575/cellular_component/not known|1
ABCC12|0006810/not known/not known|0016887/not known/not known|0005575/cellular_component/not known|1
ABLIM2|0007010/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ABTB2|0001558/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ACAA2|0006629/not known/not known|0003988/not known/not known|0005575/cellular_component/not known|1
ACAS2|0008152/not known/not known|0003987/not known/not known@0016874/not known/not known|0005575/cellular_component/not known|1
ACO2|0006383/not known/not known|0003994/not known/not known@0005506/not known/not known@0003676/not known/not known|0005575/cellular_component/not known|1
ACSL6|0006629/not known/not known@0008152/not known/not known|0003824/not known/not known|0005575/cellular_component/not known|1
ACTA1|0006936/not known/not known@0008016/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ACVR1C|0006468/not known/not known|0016740/not known/not known|0005575/cellular_component/not known|1
AD023|0006412/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ADAM32|0007229/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ADAM33|0007229/not known/not known@0042035/not known/not known|0008237/not known/not known|0005575/cellular_component/not known|1
ADAM5|0006508/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ADAMTS13|0007160/not known/not known@0007229/not known/not known|0008233/not known/not known@0008270/not known/not known|0005575/cellular_component/not known|1
ADAMTS16|0006508/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ADAMTS17|0006508/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ADAMTS19|0006508/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ADAMTS4|0006508/not known/not known|0046872/not known/not known|0005575/cellular_component/not known|1
ADAMTS7|0006508/not known/not known|0004222/not known/not known|0005575/cellular_component/not known|1
ADAMTS9|0006516/not known/not known|0008237/not known/not known|0005575/cellular_component/not known|1
ADAMTSL3|0007275/not known/not known|0008233/not known/not known|0005575/cellular_component/not known|1
ADCK1|0006468/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ADCY1|0006171/not known/not known|0004383/not known/not known@0000287/not known/not known|0005575/cellular_component/not known|1
ADCY2|0006171/not known/not known@0007242/not known/not known|0016849/not known/not known|0005575/cellular_component/not known|1
ADCY4|0006171/not known/not known@0007242/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ADCY5|0006171/not known/not known|0016829/not known/not known|0005575/cellular_component/not known|1
ADORA3|0007186/not known/not known@0007165/not known/not known|0004872/not known/not known|0005575/cellular_component/not known|1
ADSSL1|0006164/not known/not known|0004019/not known/not known|0005575/cellular_component/not known|1
AK5|0006173/not known/not known|0005524/not known/not known@0019201/not known/not known|0005575/cellular_component/not known|1
ALDH1L2|0006730/not known/not known|0048037/not known/not known|0005575/cellular_component/not known|1
ALDRL6|0009992/not known/not known@0016044/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ALG1|0009058/not known/not known@0006486/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ALK|0051092/not known/not known@0006886/not known/not known@0006913/not known/not known@0007169/not known/not known|0051059/not known/not known@0046982/not known/not known@0004872/not known/not known@0003713/not known/not known|0005575/cellular_component/not known|1
ALPK3|0007507/not known/not known|0004674/not known/not known|0005575/cellular_component/not known|1
ALS2CR2|0006468/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ALS2CR7|0006468/not known/not known|0016740/not known/not known|0005575/cellular_component/not known|1
AMID|0008152/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
AMIGO|0007156/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ANAPC7|0006512/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ANKK1|0006468/not known/not known|0016740/not known/not known|0005575/cellular_component/not known|1
ANUBL1|0006464/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
AP1M1|0006886/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
AP1S3|0006886/not known/not known@0016192/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
AP2A1|0006461/not known/not known|0005488/not known/not known|0005575/cellular_component/not known|1
AP2A2|0006897/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
AP3M1|0006622/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
AP4B1|0006897/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
APG4C|0006612/not known/not known@0006512/not known/not known|0004197/not known/not known@0008233/not known/not known|0005575/cellular_component/not known|1
APG4D|0006623/not known/not known|0004197/not known/not known@0005515/not known/not known|0005575/cellular_component/not known|1
APLN|0006955/not known/not known@0007165/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
APOA5|0006869/not known/not known@0046890/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
APOL4|0006869/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
APTX|0008219/not known/not known|0003676/not known/not known@0008270/not known/not known|0005575/cellular_component/not known|1
ARHGAP20|0007165/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ARID1B|0048096/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ARL10B|0007264/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ARL11|0007264/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ARL12|0006886/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ARL13|0006886/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ARL8|0007264/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ARL9|0006886/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ARSJ|0008152/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ART5|0006471/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
AS3MT|0009404/not known/not known|0030791/not known/not known|0005575/cellular_component/not known|1
ASB2|0007165/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ASCC1|0045449/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ASCC3L1|0008380/not known/not known|0004004/not known/not known@0000166/not known/not known|0005575/cellular_component/not known|1
ASPH|0006936/not known/not known|0005509/not known/not known@0004597/not known/not known@0005198/not known/not known|0005575/cellular_component/not known|1
ATP11B|0006812/not known/not known|0016887/not known/not known@0015075/not known/not known@0004012/not known/not known|0005575/cellular_component/not known|1
ATP11C|0006812/not known/not known|0016887/not known/not known@0004012/not known/not known|0005575/cellular_component/not known|1
ATP1A4|0015991/not known/not known|0015077/not known/not known@0005391/not known/not known|0005575/cellular_component/not known|1
ATP6V1C2|0015986/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ATP6V1E2|0006811/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
ATP6V1G3|0015992/not known/not known|0015078/not known/not known|0005575/cellular_component/not known|1
ATP8A2|0008285/not known/not known|0016887/not known/not known@0016787/not known/not known|0005575/cellular_component/not known|1
ATP8B2|0006812/not known/not known@0008152/not known/not known|0016887/not known/not known|0005575/cellular_component/not known|1
ATP9B|0008152/not known/not known|0016887/not known/not known@0015247/not known/not known@0019829/not known/not known|0005575/cellular_component/not known|1
ATRNL1|0006954/not known/not known|0005529/not known/not known|0005575/cellular_component/not known|1
B3GALNT2|0006486/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
B3GALT6|0006486/not known/not known|0047220/not known/not known|0005575/cellular_component/not known|1
B3GNT7|0006486/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
B3Gn-T6|0006486/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
BAIAP1|0006461/not known/not known|0003824/not known/not known@0016301/not known/not known|0005575/cellular_component/not known|1
BBS1|0007601/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
BBS2|0007160/not known/not known@0007601/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
BCAR1|0008283/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
BCDO2|0042573/not known/not known|0016491/not known/not known|0005575/cellular_component/not known|1
BCR|0006468/not known/not known@0007165/not known/not known|0005085/not known/not known@0004842/not known/not known|0005575/cellular_component/not known|1
BIRC6|0006915/not known/not known|0016874/not known/not known|0005575/cellular_component/not known|1
BIRC8|0016567/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
BMPR1A|0006468/not known/not known@0007179/not known/not known|0004872/not known/not known|0005575/cellular_component/not known|1
BMPR2|0006468/not known/not known|0004674/not known/not known@0016740/not known/not known|0005575/cellular_component/not known|1
BNIPL|0008285/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
BOK|0006917/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
BOLL|0030154/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
BRSK1|0006468/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
BRUNOL4|0016246/not known/not known|0003676/not known/not known|0005575/cellular_component/not known|1
C10orf33|0016117/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C11orf30|0016568/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C14orf148|0006561/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C14orf68|0006810/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C17orf27|0016567/not known/not known|0008270/not known/not known|0005575/cellular_component/not known|1
C18orf23|0016567/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C1QG|0006817/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C1QTNF6|0006817/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C1orf19|0008033/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C1orf22|0006508/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C20orf112|0008152/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C20orf139|0006979/not known/not known|0016209/not known/not known|0005575/cellular_component/not known|1
C20orf141|0006508/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C20orf161|0007242/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C20orf23|0007242/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C21orf106|0007275/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C2orf7|0006508/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C6orf213|0006810/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C7orf13|0030001/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C9orf103|0008652/not known/not known|0016740/not known/not known|0005575/cellular_component/not known|1
C9orf3|0006508/not known/not known|0004179/not known/not known|0005575/cellular_component/not known|1
C9orf4|0006584/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C9orf94|0007275/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
C9orf96|0006468/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CABP4|0001539/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CACH-1|0006629/not known/not known|0003824/not known/not known|0005575/cellular_component/not known|1
CACNA2D4|0006816/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CACNG4|0006811/not known/not known|0005245/not known/not known|0005575/cellular_component/not known|1
CACNG6|0006811/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CACNG8|0006811/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CALR3|0006457/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CAMK2D|0006468/not known/not known@0001558/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CANP|0030195/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CAPS|0007242/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CAPZA3|0030036/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CARD6|0042981/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CARD9|0042981/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CATSPER1|0006812/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CATSPER2|0006812/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CATSPER3|0006812/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CBX2|0006333/not known/not known@0016481/not known/not known|0016564/not known/not known|0005575/cellular_component/not known|1
CCBL1|0006575/not known/not known|0047316/not known/not known@0008483/not known/not known|0005575/cellular_component/not known|1
CD36|0007155/not known/not known|0005515/not known/not known|0005575/cellular_component/not known|1
CD59|0007166/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CDC42BPG|0007242/not known/not known|0004713/not known/not known|0005575/cellular_component/not known|1
CDH13|0007155/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CDH23|0016339/not known/not known@0007605/not known/not known@0007601/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CDH24|0007155/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
CDH26|0007155/not known/not known|0003674/molecular_function/not known|0005575/cellular_component/not known|1
